,q_i_s,b_i_s,e_i_s,f_i_s,r_i_s,init_prob,q_r_s,b_r_s,e_r_s,f_r_s,r_r_s,rev_probs,q_tr_shared,q_tr_difference,q_tr_added,q_tr_removed,e_tr_shared,e_tr_difference,e_tr_added,e_tr_removed,f_tr_shared,f_tr_difference,f_tr_added,f_tr_removed,r_tr_shared,r_tr_difference,r_tr_added,r_tr_removed,b_tr_shared,b_tr_difference,b_tr_added,b_tr_removed,rev_probs_tr,q_ts_shared,q_ts_difference,q_ts_added,q_ts_removed,e_ts_shared,e_ts_difference,e_ts_added,e_ts_removed,f_ts_shared,f_ts_difference,f_ts_added,f_ts_removed,r_ts_shared,r_ts_difference,r_ts_added,r_ts_removed,b_ts_shared,b_ts_difference,b_ts_added,b_ts_removed,rev_probs_ts
51,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-22.45822635813107,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'orientation', 'colour']",['contact'],-30.829237039369225,1.28,0.015,0.005,0.04,1.385,0.055,0.0,0.235,1.335,0.06,0.005,0.235,0.04,0.0,0.015,0.02,0.735,0.0,0.005,0.275,-13.018582433704054,1.26,0.02,0.015,0.03,1.48,0.13,0.0,0.12,1.47,0.06,0.0,0.13,0.035,0.0,0.025,0.02,0.82,0.0,0.035,0.155,-13.018582433704054
52,"['Z.exists', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour', 'colour']",[],-24.537667898810906,"['Z.exists', 'Z.exists']",[],"['Z.hor_operator(xN,xO,I)']",[],['contact'],-6.29156913955832,1.235,0.065,0.035,0.07,1.36,0.07,0.005,0.36,1.275,0.085,0.005,0.335,0.11,0.0,0.015,0.04,0.795,0.02,0.035,0.33,-14.220920838272862,1.265,0.08,0.015,0.06,1.54,0.11,0.0,0.195,1.39,0.085,0.01,0.2,0.11,0.0,0.025,0.03,0.955,0.015,0.015,0.155,-14.220920838272862
53,"['Z.forall', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.greater', 'Z.equal(xN,D)']","['colour', 'colour', 'size', 'orientation']",[],-36.20451544805339,"['Z.forall', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.greater', 'Z.equal(xN,D)']","['colour', 'colour', 'size', 'orientation']",[],-36.20451544805339,1.23,0.06,0.015,0.055,1.41,0.105,0.0,0.24,1.36,0.09,0.0,0.255,0.035,0.0,0.03,0.015,0.775,0.02,0.025,0.265,-13.661901569172253,1.31,0.07,0.0,0.03,1.57,0.105,0.0,0.115,1.48,0.06,0.0,0.16,0.035,0.0,0.05,0.005,0.965,0.005,0.02,0.125,-13.661901569172253
54,"['Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.greater', 'Z.equal(xN,D)']","['colour', 'size', 'orientation']",[],-26.32942737003896,"['Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.greater', 'Z.equal(xN,D)']","['colour', 'size', 'orientation']",[],-26.32942737003896,1.125,0.035,0.025,0.045,1.32,0.065,0.0,0.25,1.265,0.06,0.01,0.235,0.06,0.0,0.005,0.03,0.685,0.01,0.005,0.27,-12.667404819457115,1.19,0.05,0.005,0.02,1.405,0.055,0.0,0.2,1.315,0.05,0.005,0.21,0.07,0.0,0.02,0.02,0.73,0.005,0.005,0.21,-12.667404819457115
55,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-16.16665721857275,"['Z.exists', 'Z.forall']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-16.048874181916368,1.33,0.055,0.005,0.065,1.42,0.1,0.0,0.345,1.31,0.085,0.0,0.36,0.075,0.0,0.045,0.03,0.82,0.01,0.045,0.36,-14.508146928125258,1.325,0.045,0.025,0.055,1.56,0.09,0.005,0.235,1.465,0.035,0.005,0.26,0.08,0.0,0.045,0.025,0.935,0.005,0.025,0.215,-14.508146928125258
56,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['size', 'size']",['contact'],-22.45822635813107,"['Z.exists', 'Z.exists']","['J(B,B)']","['Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']",['colour'],['contact'],-13.276285459676586,1.26,0.02,0.015,0.025,1.37,0.075,0.0,0.195,1.32,0.055,0.005,0.22,0.045,0.0,0.035,0.015,0.74,0.01,0.01,0.185,-13.035854643179961,1.2,0.05,0.01,0.035,1.485,0.05,0.0,0.15,1.45,0.04,0.005,0.14,0.045,0.0,0.0,0.015,0.77,0.005,0.025,0.155,-13.035854643179961
57,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-23.55683864679918,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-21.35961406846296,1.31,0.03,0.04,0.055,1.43,0.12,0.0,0.305,1.335,0.105,0.01,0.305,0.105,0.0,0.03,0.04,0.84,0.02,0.055,0.305,-14.849204842375194,1.365,0.075,0.005,0.035,1.61,0.095,0.0,0.19,1.455,0.075,0.005,0.21,0.135,0.0,0.025,0.01,0.95,0.01,0.035,0.205,-14.849204842375194
58,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-13.969432640236532,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-13.969432640236532,1.26,0.05,0.02,0.04,1.4,0.085,0.005,0.225,1.37,0.07,0.005,0.24,0.03,0.0,0.03,0.015,0.805,0.0,0.045,0.265,-13.623710719064565,1.31,0.055,0.005,0.015,1.54,0.07,0.0,0.16,1.475,0.05,0.0,0.19,0.05,0.0,0.03,0.0,0.885,0.0,0.015,0.17,-13.623710719064565
59,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour']",['contact'],-20.26100177979485,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.135,0.06,0.01,0.04,1.325,0.05,0.005,0.26,1.23,0.08,0.005,0.255,0.065,0.0,0.025,0.03,0.675,0.015,0.04,0.265,-12.605933180995692,1.18,0.04,0.015,0.025,1.425,0.11,0.0,0.17,1.33,0.075,0.0,0.17,0.065,0.0,0.02,0.03,0.76,0.015,0.005,0.17,-12.605933180995692
60,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.325,0.015,0.04,0.095,1.44,0.065,0.015,0.385,1.35,0.045,0.005,0.375,0.06,0.0,0.04,0.04,0.84,0.045,0.095,0.345,-14.886188804804899,1.34,0.105,0.005,0.06,1.62,0.06,0.0,0.24,1.55,0.025,0.0,0.24,0.08,0.0,0.02,0.02,0.945,0.05,0.02,0.205,-14.886188804804899
61,"['Z.exactly', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'colour', 'size', 'size', 'colour']",['contact'],-52.188851107832186,"['Z.exactly', 'Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'colour', 'size', 'size', 'colour']",['contact'],-52.188851107832186,1.205,0.04,0.015,0.02,1.335,0.085,0.005,0.2,1.285,0.075,0.01,0.21,0.05,0.0,0.015,0.01,0.73,0.005,0.015,0.215,-12.66486282089901,1.205,0.04,0.005,0.035,1.465,0.065,0.0,0.135,1.415,0.06,0.0,0.135,0.04,0.0,0.01,0.015,0.785,0.01,0.015,0.135,-12.66486282089901
62,"['Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour', 'size', 'colour']",[],-31.927849327037336,"['Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour', 'colour']",[],-24.94313300691907,1.275,0.02,0.03,0.08,1.42,0.075,0.0,0.325,1.26,0.085,0.015,0.335,0.11,0.0,0.035,0.04,0.815,0.025,0.03,0.315,-14.396065548874104,1.3,0.08,0.01,0.045,1.52,0.07,0.0,0.28,1.43,0.045,0.005,0.26,0.115,0.0,0.01,0.035,0.86,0.0,0.015,0.27,-14.396065548874104
63,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,"['Z.exactly', 'Z.exists']","['J(B,B)']","['Z.equal(xN,D)', 'Z.greater']","['size', 'size']",[],-15.761192109464586,1.3,0.06,0.01,0.03,1.41,0.115,0.005,0.255,1.38,0.065,0.0,0.29,0.035,0.0,0.05,0.01,0.82,0.0,0.025,0.29,-13.871771393993386,1.325,0.05,0.005,0.025,1.495,0.095,0.0,0.195,1.455,0.08,0.0,0.2,0.035,0.0,0.015,0.01,0.87,0.015,0.015,0.2,-13.871771393993386
64,"['Z.atleast', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour', 'colour']",[],-31.129341633819564,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.195,0.02,0.025,0.025,1.31,0.075,0.0,0.265,1.23,0.04,0.01,0.26,0.085,0.0,0.02,0.035,0.69,0.0,0.01,0.27,-12.543141714840091,1.19,0.06,0.005,0.02,1.49,0.09,0.0,0.12,1.375,0.04,0.005,0.125,0.075,0.0,0.025,0.035,0.8,0.0,0.02,0.125,-12.543141714840091
65,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['colour'],[],-8.083328608786376,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.34,0.05,0.035,0.06,1.445,0.065,0.0,0.335,1.375,0.075,0.0,0.34,0.05,0.0,0.025,0.02,0.835,0.02,0.025,0.305,-14.827141426665419,1.38,0.08,0.01,0.045,1.735,0.095,0.0,0.145,1.6,0.055,0.0,0.165,0.065,0.0,0.025,0.005,1.025,0.015,0.03,0.13,-14.827141426665419
66,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.195,0.02,0.025,0.035,1.36,0.08,0.0,0.205,1.3,0.075,0.005,0.2,0.03,0.0,0.02,0.03,0.725,0.015,0.0,0.225,-12.521113843395563,1.185,0.025,0.015,0.04,1.37,0.07,0.0,0.195,1.32,0.055,0.0,0.195,0.03,0.0,0.015,0.02,0.74,0.01,0.005,0.205,-12.521113843395563
67,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-15.06804492890464,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-15.06804492890464,1.295,0.05,0.03,0.055,1.415,0.09,0.0,0.33,1.28,0.09,0.01,0.335,0.115,0.0,0.035,0.04,0.82,0.005,0.015,0.335,-14.434330641162513,1.285,0.08,0.015,0.05,1.535,0.09,0.0,0.265,1.395,0.07,0.0,0.255,0.115,0.0,0.02,0.04,0.89,0.015,0.015,0.255,-14.434330641162513
68,['Z.exactly'],[],"['Z.equal(xN,D)']",['size'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.25,0.03,0.04,0.04,1.36,0.09,0.0,0.28,1.345,0.06,0.0,0.305,0.025,0.0,0.04,0.015,0.795,0.02,0.025,0.305,-13.591000800829491,1.3,0.05,0.01,0.025,1.515,0.065,0.0,0.18,1.505,0.05,0.0,0.185,0.03,0.0,0.015,0.01,0.835,0.015,0.015,0.21,-13.591000800829491
69,['Z.exists'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-15.35572700135642,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,1.22,0.035,0.04,0.015,1.36,0.095,0.0,0.255,1.285,0.095,0.005,0.24,0.085,0.0,0.015,0.035,0.73,0.005,0.035,0.245,-13.29102748513746,1.25,0.035,0.0,0.035,1.52,0.07,0.0,0.16,1.405,0.06,0.005,0.16,0.09,0.0,0.01,0.02,0.815,0.0,0.03,0.17,-13.29102748513746
70,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.27,0.045,0.045,0.075,1.33,0.095,0.005,0.37,1.275,0.085,0.005,0.375,0.055,0.0,0.04,0.035,0.78,0.03,0.05,0.345,-14.268319780543585,1.33,0.095,0.005,0.055,1.635,0.1,0.0,0.145,1.525,0.06,0.0,0.18,0.085,0.0,0.035,0.0,0.96,0.0,0.035,0.15,-14.268319780543585
71,"['Z.forall', 'Z.exists']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'size']",[],-22.74590842958285,"['Z.atleast', 'Z.forall']","['J(B,B)', 'not_operator(B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'size', 'size', 'colour']",[],-31.927849327037336,1.195,0.015,0.025,0.02,1.29,0.055,0.0,0.22,1.23,0.075,0.005,0.23,0.035,0.0,0.02,0.015,0.635,0.02,0.005,0.24,-12.0657930974756,1.15,0.035,0.01,0.045,1.325,0.075,0.0,0.185,1.31,0.04,0.0,0.19,0.03,0.0,0.015,0.015,0.67,0.0,0.005,0.215,-12.0657930974756
72,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['size', 'colour']",[],-15.06804492890464,1.325,0.045,0.025,0.05,1.455,0.065,0.005,0.35,1.315,0.07,0.015,0.345,0.105,0.0,0.04,0.055,0.87,0.025,0.04,0.31,-14.766808920665085,1.38,0.055,0.005,0.03,1.555,0.065,0.0,0.245,1.44,0.04,0.0,0.24,0.135,0.0,0.02,0.025,0.89,0.005,0.02,0.27,-14.766808920665085
73,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.225,0.035,0.015,0.075,1.385,0.07,0.005,0.27,1.32,0.075,0.005,0.295,0.025,0.0,0.04,0.015,0.77,0.015,0.025,0.3,-13.454325292514252,1.295,0.065,0.0,0.045,1.53,0.085,0.0,0.16,1.455,0.045,0.005,0.19,0.035,0.0,0.035,0.01,0.89,0.02,0.015,0.155,-13.454325292514252
74,"['Z.exists', 'Z.exactly']","['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'colour', 'size']",['contact'],-28.344330389581227,"['Z.exists', 'Z.exists']","['J(B,B)']","['Z.equal(xN,xO,G)', 'Z.hor_operator(xN,xO,I)']",['colour'],['contact'],-12.177673171008475,1.225,0.05,0.02,0.02,1.435,0.08,0.0,0.23,1.335,0.07,0.0,0.22,0.105,0.0,0.02,0.03,0.82,0.035,0.015,0.225,-13.634855767024554,1.29,0.05,0.0,0.005,1.515,0.05,0.0,0.195,1.41,0.045,0.0,0.185,0.12,0.0,0.01,0.02,0.82,0.01,0.005,0.22,-13.634855767024554
75,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.305,0.075,0.035,0.04,1.36,0.095,0.005,0.31,1.315,0.065,0.005,0.34,0.045,0.0,0.045,0.015,0.775,0.04,0.025,0.31,-14.364906981077478,1.32,0.075,0.01,0.055,1.5,0.095,0.0,0.22,1.44,0.05,0.0,0.225,0.04,0.0,0.02,0.015,0.87,0.0,0.03,0.215,-14.364906981077478
76,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'size']",['contact'],-36.427658998367605,"['Z.exactly', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.hor_operator(xN,xO,I)']","['colour', 'size', 'colour', 'size']",['contact'],-36.427658998367605,1.105,0.035,0.02,0.055,1.29,0.05,0.0,0.22,1.235,0.085,0.005,0.21,0.03,0.0,0.005,0.02,0.625,0.005,0.03,0.25,-12.050752323492837,1.17,0.04,0.01,0.025,1.33,0.08,0.0,0.17,1.29,0.05,0.005,0.175,0.025,0.0,0.02,0.02,0.685,0.0,0.04,0.17,-12.050752323492837
77,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,['Z.exists'],"['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'orientation']",[],-21.241831032806576,1.335,0.025,0.025,0.075,1.48,0.075,0.005,0.37,1.36,0.085,0.005,0.345,0.115,0.0,0.02,0.045,0.89,0.03,0.025,0.32,-14.929585568025484,1.395,0.05,0.005,0.05,1.595,0.08,0.005,0.29,1.42,0.04,0.01,0.3,0.115,0.0,0.04,0.035,0.955,0.01,0.025,0.31,-14.929585568025484
78,"['Z.atleast', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour', 'colour']",[],-31.129341633819564,"['Z.atleast', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour', 'colour']",[],-31.129341633819564,1.24,0.07,0.02,0.035,1.4,0.08,0.005,0.235,1.345,0.09,0.01,0.24,0.04,0.0,0.02,0.02,0.79,0.005,0.045,0.29,-13.507302823582831,1.33,0.06,0.0,0.01,1.525,0.085,0.0,0.15,1.455,0.04,0.0,0.175,0.06,0.0,0.025,0.0,0.89,0.0,0.015,0.17,-13.507302823582831
79,"['Z.exists', 'Z.exists']","['J(B,B)', 'J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size', 'colour', 'size']",[],-29.730624749701118,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-13.969432640236532,1.215,0.025,0.035,0.04,1.44,0.09,0.0,0.265,1.325,0.09,0.005,0.255,0.1,0.0,0.015,0.03,0.81,0.025,0.02,0.26,-13.994346793401252,1.25,0.065,0.015,0.02,1.61,0.09,0.0,0.165,1.47,0.05,0.005,0.18,0.115,0.0,0.025,0.015,0.94,0.005,0.01,0.18,-13.994346793401252
80,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,1.32,0.06,0.025,0.055,1.395,0.08,0.0,0.3,1.32,0.095,0.0,0.315,0.03,0.0,0.035,0.02,0.77,0.01,0.045,0.295,-14.218275540242617,1.32,0.065,0.02,0.055,1.505,0.13,0.0,0.2,1.42,0.065,0.0,0.24,0.03,0.0,0.055,0.015,0.915,0.005,0.01,0.21,-14.218275540242617
81,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,1.14,0.02,0.025,0.03,1.355,0.07,0.0,0.175,1.295,0.08,0.005,0.185,0.055,0.0,0.02,0.015,0.675,0.005,0.045,0.175,-12.488812145110693,1.165,0.045,0.01,0.01,1.39,0.06,0.005,0.155,1.335,0.055,0.005,0.165,0.055,0.0,0.02,0.015,0.715,0.0,0.01,0.165,-12.488812145110693
82,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,1.35,0.055,0.015,0.065,1.435,0.08,0.005,0.325,1.32,0.07,0.015,0.34,0.105,0.0,0.035,0.03,0.86,0.025,0.02,0.35,-14.842087032739617,1.32,0.075,0.015,0.06,1.565,0.06,0.005,0.26,1.455,0.03,0.005,0.26,0.115,0.0,0.02,0.025,0.91,0.01,0.03,0.275,-14.842087032739617
83,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,"['Z.exactly', 'Z.exactly']","['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour']",[],-20.155641266137025,1.28,0.025,0.04,0.02,1.375,0.055,0.0,0.265,1.29,0.09,0.005,0.26,0.04,0.0,0.02,0.03,0.735,0.03,0.035,0.275,-13.2794411619187,1.305,0.055,0.01,0.02,1.5,0.085,0.0,0.16,1.465,0.07,0.0,0.15,0.045,0.0,0.01,0.025,0.865,0.0,0.005,0.185,-13.2794411619187
84,['Z.atleast'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,['Z.exactly'],[],"['Z.equal(xN,D)']",['colour'],[],-9.181940898454485,1.27,0.035,0.015,0.03,1.41,0.065,0.0,0.285,1.28,0.075,0.0,0.285,0.085,0.0,0.035,0.035,0.8,0.01,0.005,0.285,-13.841174328628371,1.27,0.04,0.01,0.03,1.525,0.08,0.005,0.19,1.425,0.055,0.0,0.18,0.105,0.0,0.015,0.02,0.9,0.005,0.01,0.19,-13.841174328628371
85,['Z.exactly'],"['J(B,B)', 'not_operator(B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'orientation']",[],-17.552951579692643,['Z.forall'],['not_operator(B)'],"['Z.equal(xN,D)']",['orientation'],[],-8.371010681238156,1.245,0.05,0.035,0.075,1.37,0.065,0.0,0.305,1.305,0.09,0.0,0.325,0.035,0.0,0.035,0.015,0.765,0.015,0.05,0.295,-14.106244988487656,1.315,0.08,0.03,0.03,1.46,0.08,0.005,0.23,1.415,0.05,0.005,0.235,0.04,0.0,0.015,0.01,0.79,0.0,0.045,0.245,-14.106244988487656
86,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-13.969432640236532,['Z.exists'],"['J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-13.969432640236532,1.115,0.015,0.055,0.03,1.29,0.065,0.0,0.24,1.225,0.07,0.005,0.245,0.04,0.0,0.03,0.03,0.665,0.04,0.005,0.21,-12.353030472411799,1.195,0.035,0.01,0.005,1.495,0.075,0.0,0.105,1.425,0.04,0.0,0.135,0.065,0.0,0.03,0.0,0.765,0.005,0.015,0.125,-12.353030472411799
87,['Z.exactly'],[],"['Z.equal(xN,D)']",['size'],[],-8.083328608786376,['Z.forall'],"['not_operator(B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'size']",[],-15.06804492890464,1.29,0.05,0.04,0.07,1.42,0.065,0.0,0.375,1.295,0.075,0.005,0.38,0.085,0.0,0.045,0.045,0.8,0.025,0.02,0.385,-14.299987378815878,1.36,0.06,0.01,0.055,1.525,0.085,0.0,0.255,1.4,0.06,0.0,0.26,0.125,0.0,0.02,0.015,0.925,0.02,0.005,0.25,-14.299987378815878
88,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,['Z.exists'],[],"['Z.equal(xN,D)']",['colour'],[],-6.984716320118265,1.23,0.045,0.01,0.06,1.35,0.085,0.015,0.25,1.29,0.065,0.015,0.255,0.04,0.0,0.035,0.03,0.75,0.01,0.06,0.27,-13.086278046119713,1.26,0.05,0.015,0.035,1.41,0.08,0.0,0.205,1.35,0.06,0.005,0.21,0.055,0.0,0.015,0.015,0.79,0.01,0.01,0.23,-13.086278046119713
89,"['Z.atleast', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour', 'colour']",[],-31.129341633819564,"['Z.atleast', 'Z.atleast', 'Z.atleast']","['J(B,B)', 'J(B,B)']","['Z.equal(xN,D)', 'Z.equal(xN,D)', 'Z.equal(xN,D)']","['colour', 'colour', 'colour']",[],-31.129341633819564,1.22,0.02,0.015,0.06,1.395,0.065,0.0,0.325,1.285,0.105,0.005,0.305,0.095,0.0,0.01,0.035,0.775,0.025,0.03,0.31,-13.77982127278003,1.305,0.03,0.005,0.025,1.62,0.1,0.0,0.14,1.505,0.08,0.01,0.145,0.11,0.0,0.01,0.015,0.93,0.0,0.025,0.15,-13.77982127278003
